cluster_id,cluster_name,n_pairs,mean_ppi_score,mean_abs_eps,frac_pos_gi,frac_neg_gi,spearman_r,spearman_p
34,CPR1/TY1B-PR3/TY1B-OL,10,7.2,0.094445,1.0,0.0,0.43926163552050174,0.20404048706840186
80,GIS4/SIP2/ROD1,10,5.7,0.15307999999999997,0.3,0.7,0.2901732164091825,0.416046676778385
30,SNC2/LEM3/GEF1,9,2.5555555555555554,0.18377777777777776,0.3333333333333333,0.6666666666666666,-0.3651483716701107,0.3338991406915333
181,VPS5/VPS17/VPS29,8,6.75,0.2358375,1.0,0.0,-0.10844160586017297,0.7982604003862406
3,RRP9/NOC4/NAN1,7,3.857142857142857,0.16232142857142856,0.2857142857142857,0.7142857142857143,0.2364331218717302,0.609742692410707
38,MAP2/SQT1/EFT1,7,7.142857142857143,0.2671,0.14285714285714285,0.8571428571428571,-0.09177788727679406,0.8448483846956818
11,HBT1/PMA2/HSP26,7,3.142857142857143,0.04387857142857143,0.42857142857142855,0.5714285714285714,0.41576092031015005,0.3535691194721545
28,MIC60/ATP1/COX11,7,5.0,0.08014999999999999,0.5714285714285714,0.42857142857142855,-0.03742405942825599,0.9365114250694435
172,GTR1/GTR2/MEH1,7,9.428571428571429,0.1202142857142857,1.0,0.0,0.6123724356957946,0.14381080871160376
43,SNF7/VPS68/PEP1,6,4.333333333333333,0.18257500000000004,0.5,0.5,-0.7944613465542746,0.05902759992532669
128,BBC1/TWF1/CAP1,6,6.166666666666667,0.11205,0.16666666666666666,0.8333333333333334,-0.9710083124552246,0.0012485929031976685
91,UBC8/GID8/VID28,6,5.333333333333333,0.03990833333333333,1.0,0.0,-0.956182887467515,0.0028378459267344386
90,YLR407W/TRK1/HOT1,6,9.166666666666666,0.22367500000000004,0.3333333333333333,0.6666666666666666,0.39279220242478635,0.4411128091213039
36,ZEO1/COF1/TMA19,5,3.8,0.26009,0.6,0.4,0.8944271909999159,0.04051932635383402
178,ERG6/APL5/APL6,5,8.8,0.06738999999999999,0.8,0.2,0.7071067811865475,0.18169011381620942
109,COG4/COG2/COG6,5,8.4,0.12940000000000002,1.0,0.0,-0.8660254037844386,0.05766888562243736
151,PFD1/GIM5/GIM3,5,10.0,0.14556000000000002,1.0,0.0,nan,nan
21,ARP7/NPL6/RSC9,5,8.4,0.12345000000000002,0.8,0.2,-0.22360679774997896,0.7176856442107858
146,OCA1/OCA2/OCA5,4,7.5,0.065925,0.75,0.25,-0.9486832980505139,0.05131670194948613
179,MTG1/GET3/GET2,4,8.0,0.24725,1.0,0.0,0.7745966692414834,0.22540333075851665
174,PPX1/SKI8/SKA1,4,8.0,0.11817499999999999,0.75,0.25,-0.7745966692414834,0.22540333075851665
57,ENV10/TCA17/NPC2,4,6.5,0.4932375,0.0,1.0,0.9486832980505139,0.05131670194948613
237,VPS51/VPS52/VPS53,4,7.75,0.258525,1.0,0.0,0.19999999999999998,0.8
71,GIP4/SUR7/NCE102,4,6.5,0.0225875,0.75,0.25,-0.39999999999999997,0.6
72,EFB1/LCL2/REP1,4,6.5,0.402075,0.0,1.0,0.21081851067789195,0.7891814893221081
74,RFC4/RFC1/RFC3,4,6.0,0.159975,1.0,0.0,0.632455532033676,0.36754446796632406
45,IMH1/CDH1/APC5,4,3.5,0.41559999999999997,0.0,1.0,-0.7378647873726218,0.26213521262737816
208,VPS15/VPS30/VPS34,3,6.0,0.11343333333333334,1.0,0.0,0.5,0.6666666666666666
207,EAF3/RCO1/EAF7,3,6.0,0.10876666666666666,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666
161,FRA1/TRX1/AHP1,3,7.0,0.11519999999999998,0.6666666666666666,0.3333333333333333,-1.0,0.0
98,CUE4/EMC2/EMC1,3,6.666666666666667,0.019816666666666666,0.3333333333333333,0.6666666666666666,0.5,0.6666666666666666
153,TDH2/APA1/TIF3,3,8.333333333333334,0.30128333333333335,0.0,1.0,0.0,1.0
145,LDB19/SNF8/VPS25,3,2.0,0.10773333333333333,0.6666666666666666,0.3333333333333333,nan,nan
37,LAA2/MDE1/TRM44,3,2.3333333333333335,0.02451666666666667,0.3333333333333333,0.6666666666666666,0.0,1.0
112,ERG28/ERG24/CYB5,3,3.3333333333333335,0.1860833333333333,0.6666666666666666,0.3333333333333333,0.8660254037844387,0.33333333333333326
22,SPT6/SPT5/RPB4,3,4.0,0.05473333333333333,0.0,1.0,-1.0,0.0
152,AXL1/PRY1/TPK2,3,10.0,0.09028333333333334,0.3333333333333333,0.6666666666666666,nan,nan
242,URM1/NCS2/YEL014C,3,4.666666666666667,0.16236666666666666,1.0,0.0,0.8660254037844387,0.33333333333333326
125,KIN2/DOT6/BOP3,3,2.0,0.05401666666666668,0.0,1.0,nan,nan
